,route,UpLocationId,DOLocationID,wait_time,Hour_0,Hour_f,trip_time,trip_distance,total_amount,CO2_emission,Mantenimiento_anual,Costo_comb,Utilidad
44,Bloomingdale --> Morningside Heights,24,166,0 days 00:00:00,0 days 08:49:23.811621,0 days 08:53:08.811621,3.75,0.7,10.013181818181819,335.6374,650.0,2.534,7.4720721810139485
45,Morningside Heights --> Lincoln Square East,166,142,0 days 00:00:00,0 days 08:53:08.811621,0 days 09:05:31.311621,12.375,2.12,21.6,1016.50184,650.0,7.6744,13.91849036283213
46,Lincoln Square East --> Clinton East,142,48,0 days 00:00:00,0 days 09:05:31.311621,0 days 09:10:17.978288,4.777777777777778,0.71,12.917373737373735,340.43222,650.0,2.5702,10.340064100205865
47,Clinton East --> Upper West Side South,48,239,0 days 00:00:00,0 days 09:10:17.978288,0 days 09:17:15.835431,6.964285714285714,1.27,16.154464285714287,608.94214,650.0,4.5974,11.549954648546416
48,Upper West Side South --> Yorkville West,239,263,0 days 00:00:00,0 days 09:17:15.835431,0 days 09:28:56.199067,11.672727272727272,1.92,20.15818181818182,920.6054399999999,650.0,6.9504,13.20067218101395
49,Yorkville West --> Flatiron,263,90,0 days 00:00:00,0 days 09:28:56.199067,0 days 09:52:26.199067,23.5,4.16,32.92,1994.6451200000001,650.0,15.0592,17.85369036283213
50,Flatiron --> Midtown East,90,162,0 days 00:00:00,0 days 09:52:26.199067,0 days 10:07:19.883278,14.894736842105264,2.13,22.983684210526317,1021.29666,650.0,7.7105999999999995,15.265974573358447
51,Midtown East --> Greenwich Village North,162,113,0 days 00:00:00,0 days 10:07:19.883278,0 days 10:20:24.428733,13.075757575757576,2.0,21.595454545454547,958.9639999999999,650.0,7.24,14.348344908286677
52,Greenwich Village North --> Hudson Sq,113,125,0 days 00:00:00,0 days 10:20:24.428733,0 days 10:25:28.714447,5.071428571428571,0.6,12.325,287.68919999999997,650.0,2.172,10.145890362832128
53,Hudson Sq --> Seaport,125,209,0 days 00:00:00,0 days 10:25:28.714447,0 days 10:43:58.714447,18.5,2.1,26.575,1006.9122000000001,650.0,7.602,18.965890362832127
54,Seaport --> Cobble Hill,209,52,0 days 00:00:00,0 days 10:43:58.714447,0 days 10:54:58.714447,11.0,2.6,22.325,1246.6532000000002,650.0,9.412,12.905890362832128
55,Cobble Hill --> UN/Turtle Bay South,52,233,0 days 00:00:00,0 days 10:54:58.714447,0 days 11:17:58.714447,23.0,6.79,44.62,3255.68278,650.0,24.579800000000002,20.033090362832123
56,UN/Turtle Bay South --> Upper East Side South,233,237,0 days 00:00:00,0 days 11:17:58.714447,0 days 11:31:37.650617,13.648936170212766,1.7,21.00063829787234,815.1193999999999,650.0,6.154,14.839528660704469
57,Upper East Side South --> Midtown East,237,162,0 days 00:00:00,0 days 11:31:37.650617,0 days 11:38:58.610438,7.349330357142857,0.8,15.07982142857143,383.5856,650.0,2.8960000000000004,12.176711791403559
58,Midtown East --> Washington Heights North,162,243,0 days 00:00:00,0 days 11:38:58.610438,0 days 12:03:58.610438,25.0,9.33,46.6,4473.56706,650.0,33.7746,12.818290362832132
59,Washington Heights North --> Midtown North,243,163,0 days 00:00:00,0 days 12:03:58.610438,0 days 12:30:58.610438,27.0,7.6,31.0,3644.0631999999996,650.0,27.512,3.480890362832129
60,Midtown North --> Lincoln Square East,163,142,0 days 00:00:00,0 days 12:30:58.610438,0 days 12:37:24.697395,6.434782608695652,0.86,15.469391304347827,412.35452,650.0,3.1132,12.349081667179957
61,Lincoln Square East --> Times Sq/Theatre District,142,230,0 days 00:00:00,0 days 12:37:24.697395,0 days 12:44:31.515577,7.113636363636363,0.84,13.234545454545453,402.76488,650.0,3.0408,10.186635817377583
62,Times Sq/Theatre District --> Upper East Side South,230,237,0 days 00:00:00,0 days 12:44:31.515577,0 days 12:57:21.897256,12.83969465648855,1.8,21.058396946564887,863.0676,650.0,6.516,14.535287309397017
63,Upper East Side South --> Upper East Side South,237,237,0 days 00:00:00,0 days 12:57:21.897256,0 days 13:02:21.399874,4.9917102966841185,0.6,13.234419720767889,287.68919999999997,650.0,2.172,11.055310083600018
64,Upper East Side South --> Midtown East,237,162,0 days 00:00:00,0 days 13:02:21.399874,0 days 13:06:09.988831,3.8098159509202456,0.3,11.569079754601226,143.84459999999999,650.0,1.086,10.475970117433356
65,Midtown East --> Sutton Place/Turtle Bay North,162,229,0 days 00:00:00,0 days 13:06:09.988831,0 days 13:12:03.791029,5.896703296703297,0.7,14.19665934065934,335.6374,650.0,2.534,11.655549703491468
66,Sutton Place/Turtle Bay North --> Upper East Side South,229,237,0 days 00:00:00,0 days 13:12:03.791029,0 days 13:22:11.899137,10.135135135135135,1.32,17.45405405405405,632.91624,650.0,4.7784,12.66854441688618
67,Upper East Side South --> Flatiron,237,90,0 days 00:00:00,0 days 13:22:11.899137,0 days 13:46:03.327708,23.857142857142858,3.48,33.98571428571429,1668.59736,650.0,12.5976,21.381004648546416
68,Flatiron --> Lenox Hill East,90,140,0 days 00:00:00,0 days 13:46:03.327708,0 days 14:07:43.327708,21.666666666666668,3.49,31.709999999999997,1673.39218,650.0,12.6338,19.069090362832124
69,Lenox Hill East --> Lenox Hill East,140,140,0 days 00:00:00,0 days 14:07:43.327708,0 days 14:13:03.327708,5.333333333333333,0.77,13.114259259259258,369.20114,650.0,2.7874000000000003,10.319749622091388
70,Lenox Hill East --> East Chelsea,140,68,0 days 00:00:00,0 days 14:13:03.327708,0 days 14:40:03.327708,27.0,5.1,41.15,2445.3582,650.0,18.462,22.680890362832127
71,East Chelsea --> Flatiron,68,90,0 days 00:00:00,0 days 14:40:03.327708,0 days 14:44:29.866170,4.4423076923076925,0.63,12.891153846153848,302.07366,650.0,2.2806,10.603444208985978
72,Flatiron --> West Village,90,249,0 days 00:00:00,0 days 14:44:29.866170,0 days 14:49:28.135401,4.971153846153846,0.79,14.20125,378.79078000000004,650.0,2.8598000000000003,11.33434036283213
73,West Village --> Lincoln Square West,249,143,0 days 00:00:00,0 days 14:49:28.135401,0 days 15:09:46.135401,20.3,3.48,30.791000000000004,1668.59736,650.0,12.5976,18.186290362832132
74,Lincoln Square West --> Upper East Side South,143,237,0 days 00:00:00,0 days 15:09:46.135401,0 days 15:21:00.042686,11.2317880794702,1.7,19.477615894039733,815.1193999999999,650.0,6.154,13.316506256871863
75,Upper East Side South --> Clinton East,237,48,0 days 00:00:00,0 days 15:21:00.042686,0 days 15:31:00.042686,10.0,0.74,17.82,354.81668,650.0,2.6788,15.134090362832131
76,Clinton East --> Little Italy/NoLiTa,48,144,0 days 00:00:00,0 days 15:31:00.042686,0 days 15:52:00.042686,21.0,2.85,29.4,1366.5237000000002,650.0,10.317,19.075890362832126
77,Little Italy/NoLiTa --> Battery Park City,144,13,0 days 00:00:00,0 days 15:52:00.042686,0 days 16:02:00.042686,10.0,1.65,20.24875,791.1453,650.0,5.973,14.268640362832132
78,Battery Park City --> Midtown East,13,162,0 days 00:00:00,0 days 16:02:00.042686,0 days 16:21:43.826470,19.72972972972973,6.1,38.41108108108108,2924.8402,650.0,22.082,16.321971443913206
79,Midtown East --> Midtown Center,162,161,0 days 00:00:00,0 days 16:21:43.826470,0 days 16:29:10.016946,7.436507936507937,0.49,14.066984126984128,234.94618000000003,650.0,1.7738,12.286074489816258
80,Midtown Center --> Upper East Side South,161,237,0 days 00:00:00,0 days 16:29:10.016946,0 days 16:33:18.324638,4.138461538461539,0.45,12.366307692307693,215.7669,650.0,1.629,10.730198055139823
81,Upper East Side South --> East Chelsea,237,68,0 days 00:00:00,0 days 16:33:18.324638,0 days 16:56:44.038924,23.428571428571427,3.51,31.94357142857143,1682.98182,650.0,12.706199999999999,19.23026179140356
82,East Chelsea --> Kips Bay,68,137,0 days 00:00:00,0 days 16:56:44.038924,0 days 17:09:54.168794,13.168831168831169,1.3,19.484025974025972,623.3266000000001,650.0,4.706,14.770916336858102
83,Kips Bay --> Meatpacking/West Village West,137,158,0 days 00:00:00,0 days 17:09:54.168794,0 days 17:26:30.168794,16.6,2.38,26.028,1141.16716,650.0,8.6156,17.405290362832126
84,Meatpacking/West Village West --> Meatpacking/West Village West,158,158,0 days 00:00:00,0 days 17:26:30.168794,0 days 17:26:42.724126,0.20925553319919518,0.0,32.777062374245475,0.0,650.0,0.0,32.7699527370776
85,Meatpacking/West Village West --> Flatiron,158,90,0 days 00:00:00,0 days 17:26:42.724126,0 days 17:33:24.262588,6.6923076923076925,1.1,15.899519230769231,527.4302,650.0,3.9820000000000007,11.91040959360136
86,Flatiron --> Yorkville West,90,263,0 days 00:00:00,0 days 17:33:24.262588,0 days 17:56:04.907749,22.677419354838708,4.2,32.766451612903225,2013.8244000000002,650.0,15.204,17.555341975735352
87,Yorkville West --> Lenox Hill West,263,141,0 days 00:00:00,0 days 17:56:04.907749,0 days 17:59:26.057174,3.3524904214559386,0.6,12.188122605363985,287.68919999999997,650.0,2.172,10.009012968196114
88,Lenox Hill West --> Lenox Hill West,141,141,0 days 00:00:00,0 days 17:59:26.057174,0 days 17:59:43.657174,0.29333333333333333,0.0,25.94357777777778,0.0,650.0,0.0,25.936468140609907
89,Lenox Hill West --> Sutton Place/Turtle Bay North,141,229,0 days 00:00:00,0 days 17:59:43.657174,0 days 18:05:44.295472,6.01063829787234,0.89,14.764787234042554,426.73898,650.0,3.2218,11.535877596874684
90,Sutton Place/Turtle Bay North --> Murray Hill,229,170,0 days 00:00:00,0 days 18:05:44.295472,0 days 18:13:52.087680,8.12987012987013,1.09,16.782467532467532,522.63538,650.0,3.9458,12.829557895299661
91,Murray Hill --> Murray Hill,170,170,0 days 00:00:00,0 days 18:13:52.087680,0 days 18:18:26.373394,4.571428571428571,0.56,12.151071428571427,268.50992,650.0,2.0272,10.116761791403556
92,Murray Hill --> Garment District,170,100,0 days 00:00:00,0 days 18:18:26.373394,0 days 18:25:25.219548,6.980769230769231,0.61,14.065384615384614,292.48402,650.0,2.2082,11.850074978216744
93,Garment District --> Midtown Center,100,161,0 days 00:00:00,0 days 18:25:25.219548,0 days 18:36:00.457643,10.587301587301587,1.18,17.82238095238095,565.78876,650.0,4.2716,13.54367131521308
94,Midtown Center --> Alphabet City,161,4,0 days 00:00:00,0 days 18:36:00.457643,0 days 18:56:05.675034,20.08695652173913,3.2,28.789130434782614,1534.3424,650.0,11.584000000000001,17.19802079761474
95,Alphabet City --> Midtown East,4,162,0 days 00:00:00,0 days 18:56:05.675034,0 days 19:03:05.675034,7.0,1.97,19.68,944.57954,650.0,7.1314,12.54149036283213
96,Midtown East --> Lincoln Square West,162,143,0 days 00:00:00,0 days 19:03:05.675034,0 days 19:19:12.875034,16.12,2.03,24.833999999999996,973.3484599999999,650.0,7.348599999999999,17.478290362832126
97,,143,264,0 days 00:00:00,0 days 19:19:12.875034,0 days 19:19:12.875034,0.0,0.05,101.4,23.9741,650.0,0.18100000000000002,101.21189036283214
98,,264,264,0 days 00:00:00,0 days 19:19:12.875034,0 days 19:41:52.875034,22.666666666666668,5.55,33.51333333333333,2661.1250999999997,650.0,20.091,13.415223696165457
99,,264,43,0 days 00:00:00,0 days 19:41:52.875034,0 days 19:54:37.875034,12.75,2.0,20.91,958.9639999999999,650.0,7.24,13.66289036283213
100,Central Park --> Upper West Side North,43,238,0 days 00:00:00,0 days 19:54:37.875034,0 days 19:58:13.329579,3.590909090909091,0.7,12.187613636363638,335.6374,650.0,2.534,9.646503999195767
101,Upper West Side North --> World Trade Center,238,261,0 days 00:00:00,0 days 19:58:13.329579,0 days 20:33:13.329579,35.0,8.2,54.6,3931.7524,650.0,29.683999999999997,24.908890362832132
102,World Trade Center --> Central Park,261,43,0 days 00:00:00,0 days 20:33:13.329579,0 days 21:03:13.329579,30.0,6.18,46.2,2963.1987599999998,650.0,22.3716,23.82129036283213
103,Central Park --> West Chelsea/Hudson Yards,43,246,0 days 00:00:00,0 days 21:03:13.329579,0 days 21:15:25.829579,12.208333333333334,1.9,19.98333333333333,911.0157999999999,650.0,6.878,13.09822369616546
104,West Chelsea/Hudson Yards --> East Chelsea,246,68,0 days 00:00:00,0 days 21:15:25.829579,0 days 21:22:36.073481,7.170731707317073,1.28,16.295365853658538,613.73696,650.0,4.6336,11.654656216490666
105,East Chelsea --> Union Sq,68,234,0 days 00:00:00,0 days 21:22:36.073481,0 days 21:35:32.915586,12.947368421052632,1.76,21.61684210526316,843.88832,650.0,6.3712,15.23853246809529
106,Union Sq --> Penn Station/Madison Sq West,234,186,0 days 00:00:00,0 days 21:35:32.915586,0 days 21:43:05.699091,7.546391752577319,0.85,15.579793814432987,407.55969999999996,650.0,3.077,12.495684177265117
107,Penn Station/Madison Sq West --> Little Italy/NoLiTa,186,144,0 days 00:00:00,0 days 21:43:05.699091,0 days 22:06:43.476869,23.62962962962963,3.2,31.043703703703702,1534.3424,650.0,11.584000000000001,19.45259406653583
108,Little Italy/NoLiTa --> Murray Hill,144,170,0 days 00:00:00,0 days 22:06:43.476869,0 days 22:22:11.169177,15.461538461538462,2.54,20.72384615384615,1217.88428,650.0,9.1948,11.521936516678279
109,Murray Hill --> Midtown East,170,162,0 days 00:00:00,0 days 22:22:11.169177,0 days 22:31:25.896450,9.245454545454546,1.2,17.23018181818182,575.3783999999999,650.0,4.344,12.879072181013948
110,Midtown East --> UN/Turtle Bay South,162,233,0 days 00:00:00,0 days 22:31:25.896450,0 days 22:38:43.647929,7.295857988165681,0.9,15.859467455621301,431.5338,650.0,3.258,12.59435781845343
111,UN/Turtle Bay South --> Murray Hill,233,170,0 days 00:00:00,0 days 22:38:43.647929,0 days 22:42:54.236164,4.176470588235294,0.4,11.845514705882353,191.7928,650.0,1.4480000000000002,10.390405068714482
112,Murray Hill --> Financial District North,170,87,0 days 00:00:00,0 days 22:42:54.236164,0 days 23:00:14.236164,17.333333333333332,5.05,33.71066666666667,2421.3840999999998,650.0,18.281,15.4225570294988
113,Financial District North --> Financial District North,87,87,0 days 00:00:00,0 days 23:00:14.236164,0 days 23:00:26.118517,0.1980392156862745,0.0,45.95654901960784,0.0,650.0,0.0,45.94943938243997
114,Financial District North --> Upper East Side South,87,237,0 days 00:00:00,0 days 23:00:26.118517,0 days 23:41:26.118517,41.0,6.85,47.6,3284.4517,650.0,24.797,22.79589036283213
115,Upper East Side South --> Midtown Center,237,161,0 days 00:00:00,0 days 23:41:26.118517,0 days 23:51:47.760746,10.360703812316716,1.2,18.062785923753665,575.3783999999999,650.0,4.344,13.711676286585794
116,Midtown Center --> UN/Turtle Bay South,161,233,0 days 00:00:00,0 days 23:51:47.760746,0 days 23:59:45.395155,7.960573476702509,0.8,15.554444444444442,383.5856,650.0,2.8960000000000004,12.651334807276571
